1,0213,The Bluest Eye,Toni Morrison
0,0214,Little House In the Big Woods,Laura Ingalls Wilder
0,0215,Pippi Longstocking,Astrid Lindgren
0,0216,Germinal,Émile Zola
1,0217,The Heart Is a Lonely Hunter,Carson McCullers
1,0218,The Woman In White,Wilkie Collins
1,0219,"Absalom, Absalom!",William Faulkner
1,0220,A Painted House,John Grisham
1,0221,The Girl With the Dragon Tattoo,Stieg Larsson
1,0222,A Room With a View,E.M. Forster
1,0223,Watership Down,Richard Adams
1,0224,Memoirs of a Geisha,Arthur Golden
1,0225,Our Mutual Friend,Charles Dickens
0,0226,Babbitt,Sinclair Lewis
1,0227,The Red Pony,John Steinbeck
1,0228,All the King's Men,Robert Penn Warren
0,0229,Things Fall Apart,Chinua Achebe
1,0230,Lorna Doone,R.D. Blackmore
1,0231,Johnny Tremain,Esther Forbes
1,0232,Anne of Avonlea,L.M. Montgomery
1,0233,Tuck Everlasting,Natalie Babbitt
0,0234,The BFG,Roald Dahl
0,0235,Cannery Row,John Steinbeck
0,0236,The Joy Luck Club,Amy Tan
1,0237,The Silmarillion,J.R.R. Tolkien
1,0238,Roots,Alex Haley
1,0239,Little House on the Prairie,Laura Ingalls Wilder
1,0240,Native Son,Richard Wright
1,0241,Stuart Little,E.B. White
1,0242,Cross Fire,James Patterson
1,0243,The Power and the Glory,Graham Greene
1,0244,A Clockwork Orange,Anthony Burgess
1,0245,The Phantom of the Opera,Gaston Leroux
0,0246,The Martian Chronicles,Ray Bradbury
1,0247,The Road,Cormac McCarthy
1,0248,The Way of All Flesh,Samuel Butler
0,0249,Diary of a Wimpy Kid: The Long Haul,Jeff Kinney
1,0250,Villette,Charlotte Brontë
1,0251,The Curious Incident of the Dog In the Night-Time,Mark Haddon
1,0252,The Mysterious Island,Jules Verne
1,0253,Song of Solomon,Toni Morrison
0,0254,Nana,Émile Zola
0,0255,Quo Vadis,Henryk Sienkiewicz
0,0256,Main Street,Sinclair Lewis
1,0257,Matilda,Roald Dahl
1,0258,Lolita,Vladimir Vladimirovich Nabokov
1,0259,Paper Towns,John Green
1,0260,Sounder,William H. Armstrong
1,0261,"Are You There God? It's Me, Margaret",Judy Blume
